"","result.1","result.2","result.3","result.4","result.5","result.6","result.7","result.8","result.9","result.10","result.11","result.12","result.13","result.14","result.15","result.16","result.17","result.18","result.19","result.20","result.21","result.22","result.23","result.24","result.25","result.26","result.27","result.28","result.29","result.30","result.31","result.32","result.33","result.34","result.35","result.36","result.37","result.38","result.39","result.40","result.41","result.42","result.43","result.44","result.45","result.46","result.47","result.48","result.49","result.50","result.51","result.52","result.53","result.54","result.55","result.56","result.57","result.58","result.59","result.60","result.61","result.62","result.63","result.64","result.65","result.66","result.67","result.68","result.69","result.70","result.71","result.72","result.73","result.74","result.75","result.76","result.77","result.78","result.79","result.80","result.81","result.82","result.83","result.84","result.85","result.86","result.87","result.88","result.89","result.90","result.91","result.92","result.93","result.94","result.95","result.96","result.97","result.98","result.99","result.100"
"1",-23.9902739824903,-25.7015667889857,-27.5678464388496,-23.2233323199547,-23.889447923607,-24.6310388261525,-24.2365933610231,-25.777185568127,-23.5703770642751,-23.4287691874695,-27.9576993230968,-31.2171326028427,-18.4262681004395,-27.3904427756265,-22.4253572654179,-20.7267704744992,-36.0992398216212,-19.7806286803703,-33.3729771536179,-23.0888826635815,-34.127480338194,-26.6093266009646,-30.6524102887175,-31.0914722713657,-27.1816883891075,-27.3795433719078,-22.7578171790775,-24.3859763370071,-27.4420877129576,-28.7855084088071,-26.1515320285954,-24.4043246067701,-22.1377091365008,-28.1692573348634,-23.6729830926919,-27.9901983108618,-21.6698025012558,-27.3238706469388,-27.8141230242441,-30.0493857701872,-27.4238498146915,-20.4303498491864,-23.3041463376951,-25.5935297659682,-20.0389985544091,-26.7311605325513,-26.744321703987,-22.8240932543113,-27.7928611791655,-24.4893234060484,-23.6446168377316,-24.2787807494798,-26.6843872871782,-31.0302638454987,-26.9104217090795,-23.0951206131331,-26.1960316326098,-26.4849857957083,-23.9734086229675,-26.929237503163,-30.6216996858311,-17.7271384756454,-28.2747075968916,-31.2086993169147,-26.9151688318729,-27.9414924027248,-23.146100567304,-17.8381704767261,-23.3660005568015,-29.9002713555015,-19.3912054973752,-21.2675371777067,-28.0627497776723,-23.255587682437,-26.9825267932879,-32.7804901342627,-36.8470034345554,-30.6927364886816,-22.6056033983429,-31.9354795524439,-24.3492394435579,-22.6794516106159,-24.7335859579006,-23.0022678762996,-24.6445955868435,-22.9029462699414,-25.7236866674556,-30.1969178834745,-25.1048227453513,-17.499986791977,-23.6665293932942,-34.9478423155847,-27.3675467780739,-27.8837218322751,-23.688136529289,-21.8136476313658,-23.4491127108328,-29.8425440237167,-30.2408770635226,-25.5106496457495
"2",-22.9981882482847,-24.3984376227901,-26.264717272654,-23.0453696401242,-23.5283157018861,-23.4714535765515,-22.9334641948276,-24.727255010735,-22.6509780587654,-23.4287691874695,-27.5833124969743,-30.481416046335,-18.170599429262,-26.087313609431,-21.371446980757,-19.9256738432474,-35.3882650646564,-18.4774995141747,-32.1068294091601,-21.7857534973859,-32.8243511719985,-25.6987794438661,-29.8828678510891,-29.7883431051701,-26.3933765393471,-26.925999728715,-21.4664913548034,-23.3015989809856,-27.1007176188345,-27.7430050758507,-26.1515320285954,-24.2427330072002,-22.0304240925641,-26.8661281686678,-23.3608513936323,-26.6870691446662,-21.3909604583018,-26.053080319815,-27.5425819932226,-28.9558017073973,-26.1861286630677,-20.1051912767387,-22.445395386367,-24.6181170513677,-19.2912687774528,-25.7956283861001,-25.9494595855932,-22.1807040311313,-26.48973201297,-24.2491103831382,-22.4474859002457,-23.2362774165234,-26.5948299895787,-29.7271346793032,-25.8921733907359,-22.2807439196521,-25.4882172160057,-25.2829245947281,-22.6702794567719,-25.6261083369674,-29.3185705196356,-17.3462966507945,-27.5622103907421,-30.0752067249132,-25.6120396656773,-27.0159771418929,-22.0743532465148,-17.2527518223074,-23.049785789908,-28.711169139776,-18.0880763311796,-21.109256172388,-27.0189200618019,-22.1752063642916,-25.6793976270923,-31.7438647432471,-36.8470034345554,-30.0621695594857,-21.9799453167936,-30.9081622326003,-23.0811373634079,-22.672360419484,-23.430456791705,-22.0210477319043,-23.341466420648,-22.0585527017908,-24.7088454086687,-28.9965569259582,-24.2145909256098,-16.7231876703007,-22.3634002270987,-34.9478423155847,-26.9426773324565,-26.5897945906294,-22.3850073630935,-20.6330398615953,-22.9753036382929,-28.8702391989164,-28.937747897327,-24.207520479554
"3",-22.8548942834835,-24.0189140713226,-25.8851937211865,-23.0453696401242,-23.4828617632235,-23.0919300250841,-22.5539406433601,-24.5464876006194,-22.5808773516797,-23.4287691874695,-27.5833124969743,-30.2723263047949,-18.074088349086,-25.7077900579635,-20.9919234292895,-19.8497691329539,-35.008741513189,-18.1902364924532,-31.7273058576927,-21.6161789372887,-32.444827620531,-25.3923945039791,-29.5033442996216,-29.6260572588508,-26.0138529878796,-26.7345776591319,-21.086967803336,-23.1427679664255,-26.9344415581236,-27.4089909384028,-26.1515320285954,-24.0399165422519,-21.9545193822706,-26.4866046172004,-23.0597303733576,-26.3075455931988,-21.1070244442848,-25.6735567683475,-27.1814534628836,-28.5762781559298,-25.8066051116002,-19.8015724355647,-22.0658718348995,-24.2385934999002,-18.9646198309003,-25.5906170445537,-25.5699360341258,-21.8770851899573,-26.1102084615025,-23.8728897317831,-22.2009478777142,-22.8952407476754,-26.3650498647453,-29.3476111278357,-25.6356015007141,-22.086624023958,-25.1086936645382,-25.0436548125234,-22.354304405206,-25.2465847855,-28.9390469681681,-17.3462966507945,-27.5622103907421,-29.6956831734457,-25.2325161142099,-26.6848967087569,-21.6948296950473,-16.921913014026,-22.9738810796145,-28.3316455883085,-17.7085527797122,-21.109256172388,-26.6393965103344,-21.8715875231176,-25.2998740756248,-31.6679600329536,-36.8470034345554,-29.7585507183117,-21.6034216762754,-30.6000389902179,-22.7016138119405,-22.672360419484,-23.0509332402376,-21.6415241804368,-22.9619428691805,-21.7549338606168,-24.3293218572013,-28.6170333744907,-24.0546494874202,-16.5653403041242,-22.0393468978453,-34.9478423155847,-26.8311508456599,-26.210271039162,-22.005483811626,-20.5571351513018,-22.9753036382929,-28.5666203577424,-28.5771131181579,-23.8279969280865
"4",-22.4969919968138,-23.5288580186612,-25.4519318680044,-22.7011291260132,-23.1186813938372,-22.6018739724226,-22.0638845906986,-24.4484763900871,-22.4828661411474,-23.4287691874695,-27.5025880902193,-29.8616316744144,-17.6776719943001,-25.217734005302,-20.501867376628,-19.6326642923619,-34.5186854605275,-17.7294727907498,-31.2372498050312,-21.419147178168,-31.9547715678695,-25.0333948538921,-29.0132882469602,-29.5280460483185,-25.5237969352182,-26.5134872136603,-20.5969117506745,-22.9152922396795,-26.8320591265995,-26.9189348857414,-26.1515320285954,-23.7067467764499,-21.6169619353121,-25.9965485645389,-22.8833043791518,-25.8174895405373,-20.7238384611219,-25.5427698359331,-26.6913974102221,-28.0862221032684,-25.4103533755414,-19.4095275934356,-21.7590062148285,-24.0143350460618,-18.4745637782389,-25.1985722024246,-25.1899921035691,-21.4619855679857,-25.620152408841,-23.3828336791216,-21.7199451288014,-22.4051846950139,-25.8847123636805,-29.0038155148507,-25.1455454480527,-22.0729078845426,-24.6186376118768,-25.0349665761668,-22.1760341491839,-24.7565287328385,-28.7436449271157,-17.3101480562803,-27.5622103907421,-29.4499552407821,-24.7424600615484,-26.1948406560955,-21.2047736423859,-16.4863875701991,-22.6583074017475,-27.841589535647,-17.2184967270507,-21.109256172388,-26.1493404576729,-21.4795426809884,-24.8098180229634,-31.4786785532643,-36.8170290151455,-29.3665058761826,-21.2003655291454,-30.1099829375564,-22.211557759279,-22.6062243634661,-22.5608771875761,-21.3197200435065,-22.471886816519,-21.7020805607321,-23.8392658045398,-28.1269773218292,-23.6167599673058,-16.5018151548697,-21.5816682188621,-34.9478423155847,-26.4391060035307,-25.7202149865005,-21.7981656246069,-20.4591239407695,-22.9185976027118,-28.1745755156133,-28.4791019076256,-23.337940875425
"5",-21.8553369933722,-21.4397833842539,-24.450619514182,-20.4956952367461,-22.0977898045451,-21.1771261781198,-20.0709605532363,-23.2192995088777,-21.4204041878308,-22.8205894567234,-26.8636698178809,-28.0032719755899,-16.9215003701715,-22.9124375717873,-19.1709951934629,-19.332191789571,-32.6593012038969,-15.8446452432663,-28.8320259329507,-21.3941553635667,-29.4498855612857,-23.7478159355155,-27.1651536927766,-27.9277473819296,-24.0884604518507,-24.7580141611411,-18.4358322627754,-22.8875891846057,-25.3276472655031,-25.8158099910939,-25.1664724874847,-22.4043949269261,-19.613053130045,-24.0723872094634,-21.2756100179381,-24.439188699582,-18.9443108181591,-23.951634537671,-24.5841277406596,-25.6347374254957,-24.1733440396723,-18.130256062047,-20.7737741170435,-22.4443875599335,-16.7262502971491,-22.722946307718,-24.2570691431777,-19.7591532470718,-23.1152664022572,-21.288444082534,-19.7576274649046,-21.2127606103561,-23.7040070924196,-27.409538627399,-23.6540040702666,-21.0800798381827,-23.3523668674026,-23.6801295371068,-19.7001891218536,-23.56785252882,-27.1140352378971,-16.4889488875921,-26.3613793278843,-28.1704182884759,-22.9464163460987,-23.6899546495116,-19.1127042313362,-14.7817706984436,-21.4598194207146,-26.4375956134347,-15.7597717035801,-20.6683957888334,-24.1590977923735,-20.9403618847737,-22.5901001020542,-29.1125217593032,-35.5510750966903,-28.6453099496294,-18.9254640279839,-28.2149177944673,-19.8762558689461,-20.9884408340454,-21.2438259853331,-20.0169221387588,-20.4906596394681,-21.1389511438379,-22.4586434736581,-27.3639490253291,-21.5736461533165,-15.8856132489944,-19.3701540393381,-33.6558911668177,-24.20101404523,-23.2153289799166,-20.2919961942893,-18.5543161032803,-21.1036745699518,-27.6544683357784,-26.7522829508953,-22.0077321352022
"6",-10.5203804563825,-6.7791294806815,-8.81478128506047,-3.9448521590562,-8.60110062810508,-8.97046598600709,-5.34288631539651,-7.24309121831237,-7.23126382157269,-10.0123595906137,-12.5069018327024,-5.89313802868371,-8.2545606909975,-8.23828365781793,-7.78489051117854,-9.71094055461767,-9.32308454856938,-1.02032690129943,-11.2915035359874,-10.7568267474593,-9.42613532646742,-8.08492961658187,-8.44600579070406,-9.69627018738119,-9.38898068817862,-13.2323695125696,-10.0804984555232,-6.05290056072986,-9.34052449250931,-8.90339260390902,-7.92927768014839,-10.8036120912164,-3.55987274667995,-8.326481655486,-7.74969214972881,-10.7857234825995,-5.99245133658426,-7.88191293255635,-12.7221547408252,-6.32790370922762,-8.15685475462811,-4.56394664775393,-8.87732449657288,-7.77839696327959,-8.36104200434016,-5.82852412751488,-8.856678045912,-5.32441197392859,-10.4008472351346,-4.54077729396115,-7.63439980155779,-9.84015351634559,-10.3456148600409,-9.45391911329278,-12.9775185269806,-9.40134212822605,-7.83304953536093,-4.53957712804189,-2.19986036647123,-9.57336980525674,-6.17928111651988,-7.73287753031709,-10.0483065443212,-10.8059103452838,-8.41806193289681,-11.0355482037027,-5.15244331474657,-5.58674647935459,-9.04992899405961,-6.83419362207002,-3.81969062534088,-9.28709756174413,-8.47843078873228,-10.9963472738714,-7.14865445067503,-12.8186523847226,-12.7436087587299,-11.2483946344352,-8.71009445373614,-11.0041679033232,-9.28850205496066,-8.48235670071629,-7.39920312009835,-8.42632661275815,-4.08840154341131,-8.39961014424548,-6.11724370746978,-9.43367475778896,-1.600502230989,-3.78515874708776,-3.01269204409988,-16.8313549694992,-8.81289280489146,-9.32628546162939,-4.73660891852233,-3.3279620735677,-4.97548511673437,-9.35552885731575,-9.47020295096494,-7.66566236903549
"7",694.40514673068,-20.4205010367054,-18.8211573771365,-5.95266504091501,-11.5170609644007,-15.831742863771,-7.43013823057736,-29.0746772328284,-12.5752877420743,-25.5884527543075,-329.316064013906,-18.2000602764945,-33.1945376317947,5795.89303792169,-47.9257971789938,-42.9284310135935,-16.8748307808301,8.18383290532412,-24.9279935649388,25.2365951350562,-29.774358918922,-9.37477506686336,7.72569966163604,-556.093161870933,-35.6564791531979,-11.7875071369412,-15.3464865298164,-13.3690050497616,-91.3502743546412,-18.2587366769101,21580.5324582139,-13.1805366433031,-5.32295347122063,-22.4125138380084,-36.6651911409764,-24.8576979008767,76.6834115993215,22.9467556493918,-89.2978361074225,14.7712916340093,-20.1863798430811,-19.9647464480626,-31.9969261577486,-10.0795380232041,-24.4793467982016,-57.4957656207517,-29.7520756701559,-16.6923472111705,22.3718472455964,92.6747096372506,-5.91679102786705,-120.647302385231,-44.6535419428383,4.21116221077038,-16.6768114357363,-35.5394867484253,7.48851658416063,-28.1559435785109,-10.410733340473,-17.8331906371635,-13.1444931836574,-12.8964658279859,3.83712750028718,-21.0071770415618,40.5529273902339,-35.6494842721972,62.41554973992,32.0409098704469,-8.46884476054514,-1.53589205452796,-32.1449347475556,-18.7197146535157,5.21794661829466,-6.42667156749123,-0.0109820867985988,-60.5525144037766,-3.24347572488167,-14.9389505027909,-60.1610429983382,-49.7189632748477,0.877334773985933,-40.5840562252541,5.34137946315144,-7.74516816616988,-19.8385933861875,-81.5626036240319,-1.08585661524784,-24.4076948664733,-12.477747883605,-37.4651875795417,26.5535834304994,-17.7790270714186,542.037455427939,-13.2916649413929,-4.24601896509179,-11.7278758787318,-5.97458881332636,-12.4108537908959,3.83643456620209,-16.6650168583949
"8",709.910701905361,-19.8973646033538,-18.7168416565521,-5.88683143126017,-11.5124012520183,-15.8167866430955,-7.4299314096769,-28.0867487476191,-11.9738602383523,-25.3762355861889,-325.502266572218,-17.7008435374627,-33.0130493923806,6441.29175744805,-47.8286191406608,-42.8507538506479,-16.8688263907,8.38241805413623,-24.818299789521,25.3641882096499,-29.2999545713705,-9.35804664000998,9.13403360176852,-543.294068202671,-35.4007847180392,-11.5855272130772,-15.0455413399329,-13.2359004775072,-89.7209119168769,-17.5303083573104,22076.0244872091,-13.1791348369649,-5.29032634507726,-22.3804968076742,-36.6305911749191,-24.8204770560635,79.3724124108721,23.5527444804864,-89.2978361074225,15.4232139479945,-19.8062232524221,-19.9359328110921,-31.937069723515,-10.0514510708246,-24.4465548385412,-57.2771975562406,-29.4113385963297,-16.039601377315,22.414034350994,94.122166870748,-5.78274834330325,-118.749802384564,-44.245813912677,4.39592984763246,-16.3125417623459,-35.1402200817856,8.03323372925776,-27.7556513299751,-10.4077308815581,-17.2341337310135,-13.1444931836574,-12.8617730462999,4.47543167771022,-20.9980834091181,41.5691621931068,-35.4512090863105,63.5069743829459,32.5221599853811,-8.26308957640603,-1.46322398528639,-31.8250370216674,-18.4165187395258,5.58462052851188,-6.39660462314496,0.251989048943949,-59.2380030736107,-3.10807048615745,-14.4256140913403,-58.9065727191494,-49.3744689284149,1.02650816362517,-40.1071172327359,5.43831958163014,-7.70287185276035,-19.5230211288142,-80.6669152991827,-0.77535972661239,-24.332594436771,-12.4774405202904,-37.4049132398647,29.4574926387116,-17.7790270714186,559.598310383308,-13.2693176905785,-4.24601896509179,-11.5803891292498,-5.83348109701246,-12.3809601678491,5.16879375294289,-16.4841976506877
"9",714.426542330105,-19.7399917204648,-18.68646072903,-5.87466330750074,-11.5110441566221,-15.8124307909401,-7.42987117512403,-27.7990242940277,-11.798700393815,-25.3588259003305,-324.391535581619,-17.5554515727486,-32.9601927278543,6629.25778606692,-47.8286191406608,-42.8281311410088,-16.8670776711365,8.44333116771847,-24.7863525564297,25.4013484375603,-29.1617889716088,-9.35317465023754,9.54419700880182,-539.566458069652,-35.3263162289291,-11.5267025470207,-14.9578940136167,-13.2225670362893,-89.2463761340479,-17.3181607743881,22220.331666763,-13.1787265746577,-5.29032634507726,-22.3711721625238,-36.6205142751463,-24.8096368511333,80.1555574469686,23.7292327667536,-89.2978361074225,15.6130799093303,-19.6955063847904,-19.9275411227489,-31.9196371258204,-10.0432710222204,-24.4201568684513,-57.2179453830381,-29.3121022752268,-15.8494955739174,22.4263209304689,94.5437245521389,-5.74370972993048,-118.197174174066,-44.1141599915818,4.47481846556113,-16.2064518030976,-35.0239375925001,8.19187723967511,-27.6390701500506,-10.4042990378468,-17.0596642997008,-13.1444931836574,-12.8516691148883,4.66133149072672,-20.9921559590931,41.8651305832834,-35.3705528175345,63.7945173257164,32.6623193475548,-8.18052033870292,-1.44206012491684,-31.7318699556658,-18.3282159119529,5.69141069808684,-6.38784792135662,0.328576805522076,-58.8551645788471,-3.06863504228817,-14.276109910922,-58.5412205898912,-49.2741383386237,1.03422978770588,-39.9682134425597,5.45921750799396,-7.69055346752611,-19.4311138129703,-80.406054884979,-0.684930561989704,-24.3107221753432,-12.4773510037484,-37.3873589313203,30.3032276313964,-17.7790270714186,564.71273665229,-13.2628092735968,-4.24601896509179,-11.562415167077,-5.79238486263742,-12.3722539441843,5.55683026037403,-16.4315358350651
"10",720.257576858641,-19.5367855334276,-18.6472316552082,-5.83949779288704,-11.5092918205407,-15.8068063396907,-7.42979339785012,-27.42750292352,-11.5725269675103,-25.3363458147156,-322.957315115676,-17.3677156284548,-32.8919420797075,6871.9670715994,-47.8286191406608,-42.7989197897149,-16.8648196542015,8.52881880946397,-24.7451010059486,25.4493312163242,-28.9833839999779,-9.34688374136706,9.97691927187126,-534.753218151905,-35.2301595248725,-11.4507457756021,-14.844720265651,-13.1650797785449,-88.6336364722254,-17.0442272947223,22406.6668928891,-13.1781994099694,-5.29032634507726,-22.3591318061949,-36.5752164016048,-24.7956395431465,81.1667857714478,23.8113434024934,-89.2978361074225,15.858242464295,-19.5525443185237,-19.9167054377202,-31.8971274555223,-9.99853098135735,-24.3708297603577,-57.1414365972223,-29.1839643517375,-15.6040233252497,22.4421858553595,95.0880567615966,-5.69330150441492,-117.48359843317,-43.944163160977,4.57668261747623,-16.0694641867685,-34.8737889720191,8.39672411200984,-27.4885358482199,-10.3908301551137,-16.8343823626811,-13.1444931836574,-12.8386225128399,4.90137279568691,-20.9768952675639,42.2472968558158,-35.2664062038502,64.1228711167072,32.8432987452887,-8.07390362270836,-1.41473249839228,-31.6115688981261,-18.2141957544371,5.82930245411253,-6.37888835387616,0.427469992850646,-58.3608281382619,-3.01771441329742,-14.0830641085497,-58.0694632467606,-49.1445874514542,1.03422978770588,-39.7888552898171,5.48620174984949,-7.63015841028511,-19.3124393954301,-80.0692214410833,-0.568164792674146,-24.2824798329202,-12.4772354163941,-37.3646921030848,31.3952746216563,-17.7790270714186,571.316689264227,-13.254405344189,-4.24601896509179,-11.4706857914485,-5.73931975424241,-12.3610121185157,6.05787858368618,-16.3635367836487
